Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Total,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Moderate,Clear,Street/Lane/Road,Front ,35-44,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Condition,20 mph or less
Off-peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Complaint,Clear,Avenue,Front ,35-44,Normal,Female,Other,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Turn,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,45-54,Other,Female,Driver Violation,Other,No Controls,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Right Angle,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Other,45-54,Impaired,Male,Driver Condition,Other,Controls Functioning,Other,31-40 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,Severe,Clear,Other,Front ,35-44,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front Left,45-54,Fatigued/Illness,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Moderate,Cloudy,Other,Front ,55-64,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Other,Front ,45-54,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Hillcrest,Condition Of Driver,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,None,25-34,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Other,61-70 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,55-64,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Cloudy,Other,Front ,45-54,Impaired,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Condition,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Unknown,35-44,Unknown,Unknown,Other,Other,No Controls,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front Left,45-54,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Sign,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Moderate,Cloudy,Other,Front Left,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,15-24,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Error,51-60 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Residential ,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Other,75-Inf,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Condition,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Fatal,Clear,Other,Left,15-24,Unknown,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,Full Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Rear ,75-Inf,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Sideswipe,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Front ,35-44,Unknown,Male,Other,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,75-Inf,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Other,Left,55-64,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,Complaint,Cloudy,Other,Front ,55-64,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Left,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Rear ,45-54,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Rear ,35-44,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,No Injury,Clear,Other,Rear ,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Other,65-74,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,51-60 mph
Peak,Full Control,On Grade,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Barrier,No Injury,Cloudy,Other,Unknown,25-34,Unknown,Unknown,Other,Other,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,55-64,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Condition,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,One-Way Road,No Injury,Cloudy,Other,Unknown,65-74,Unknown,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,One-Way Road,Complaint,Cloudy,Other,Front ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,Complaint,Clear,Other,Left,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,25-34,Impaired,Female,Driver Condition,Yellow Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Other,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,35-44,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,61-70 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Female,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Right ,55-64,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,None,35-44,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Other,51-60 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Other,Left,55-64,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,35-44,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,None,45-54,Unknown,Unknown,Other,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,Full Control,On Grade,Violations,Dark - Continuous Street Light,Other,Head-On,Other,Complaint,Clear,Other,Front Left,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Front ,35-44,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Other,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front Left,55-64,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Peak,Partial Control,Straight-Level,Violations,Dark - No Street Lights,Other,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Other,51-60 mph
Peak,Full Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Severe,Clear,Other,Front ,75-Inf,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,None,25-34,Unknown,Unknown,Other,White Dashed Line,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,55-64,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Right Angle,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,Full Control,Straight-Level,Violations,Dusk/Dawn,Business,Head-On,Two-Way Road With A Physical Barrier,Complaint,Clear,Other,Front ,55-64,Distracted,Male,Other,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Off-peak,Full Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Other,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Left,25-34,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Other,No Controls,Other,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Cloudy,Street/Lane/Road,Rear ,45-54,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Other,Rear ,45-54,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,One-Way Road,Complaint,Clear,Other,Front ,15-24,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front Left,35-44,Distracted,Male,Other,Other,No Controls,Driver Error,21-30 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Street/Lane/Road,Front ,25-34,Other,Male,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With A Physical Barrier,No Injury,Clear,Drive,Front ,15-24,Distracted,Male,Driver Violation,Sign,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Residential ,Head-On,Two-Way Road With No Physical Separation,Fatal,Clear,Drive,Front ,25-34,Unknown,Male,Other,Yellow Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,One-Way Road,Moderate,Clear,Street/Lane/Road,Front ,35-44,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Error,21-30 mph
